date,review,title,userName,rating,isEdited,app_name,app_id
2021-11-02 16:06:10,"I really like the weekly playlists and large music catalog and have used Apple Music from day one.  It’s confusing having to sync the music that is in the cloud with the purchased music on my device, and things have gone missing or been replaced over time with other titles because you didn’t have them.  Sometimes the original album art gets replaced as well.  The audio quality is very good, even in the car.  I wish I could keep the weekly playlists for a while.  Sometimes I don’t have a chance to listen to one I really like before you replace it with something else.  My biggest problem with all of the streaming services is that you charge people a monthly fee to listen to music they probably already own.",My go to service from day one,cmm472,3,False,apple-music,1108187390
2021-10-05 13:06:30,"As a user, I would like the ability to follow my favorite artists, so that I can see or be alerted to all of their new releases. Currently you have to install and give 3rd party apps such as Music Harbor access to your data to be able to see all releases by artists you love. These releases are almost never in my New Music Mix and it’s really frustrating. Spotify’s implementation of follow and the What’s New bell on the home page is what Apple Music needs. On the other side of the coin, please give us a way to block certain artists from playing. I made the mistake of listening to sleep playlists last year and it’s completely ruining my recommendations and I’ve hit to thumbs down hundreds of songs and still get recommended the sleep tracks over my actually music tastes.",Missing a key feature,CRTX90,3,False,apple-music,1108187390
2021-11-12 19:53:20,Can you please add a Discover playlist mix also? That would be nice and I also feel like the equalizer needs to be customized because I like basin it would be nice to increase the excursion of the base versus the mid or lower end of the base and also include like slider for each sound frequency so like one slider can be lower excursion base and then the second slider can be like to adjust the middle base and then I just feel like it has to be customized also noticed preset to the bass boost option it’s kind of hard to see if selected the right option also I would like to have the ability to actually save radio stations to my library that would be nice als that way I don’t have to scroll through the radio tab in all the menus and it would just make it easier to find o,Request,Pepe Damian Puga,3,False,apple-music,1108187390
2021-10-30 22:40:31,"I like this app a lot... but there are a few problems for me.
1) Songs: When I go to search for a song, some of them arent even on here. Like when I searched for Dangerous by Left boy, ot didnt have it..but there was an update! Download the update, waited, searched it again and it didnt have it. 2) Shazam: I like using the shazam app for if im watching stuff...but most of the songs I shazam Apple Music doesnt have, which makes me sad because they're good songs.... 3) Country or Region: So sometimes I look for songs like Paparazzi by Kim Dracula and it said it was out of my country or region so I couldnt listen to it... Um.. I dont know what that means but I cant listen to the song. Same thing with Limanade with an I lol (yes an actual song I like)...
Thats really it. Thanks for reading, guys!",Love it but have suggestions,Phil2222222,3,False,apple-music,1108187390
2021-09-29 20:36:31,"Whoever thought it was a good idea to change the functionality from “scroll down to adjust settings” to “click this hamburger icon” should be disciplined. 

If you don’t know what I’m talking about: go to the podcast app, play something you’d like to hear, then scroll down. Notice how when you scroll down everything is in a place that you can easily find and your eyes make less movement? This is a user-friendly function of the app. 

In contrast, in Apple Music, you have to click the hamburger icon, then your eyes need to travel to the top of the screen to turn on repeat or shuffle. This is a poor design choice. The Music app USED to work like the podcast app and then they changed it and it has sucked ever since. Please, god, change it back.","Change it back, please",king kontinuum,3,False,apple-music,1108187390
2021-09-30 07:43:02,"A few off the top of my head: 1.) still not able reorder playlists according to date added. I’m pretty sure Apple Music is the only service that doesn’t offer this. 2.) can’t save created radio stations. 3.) it doesn’t matter how much I dislike a certain artist/band/song, they will still be blasted at me in recommendations. Almost as if hitting the dislike button doesn’t actually do anything at all. 4.) for god sake…and also assuming it actually is doing something….put a simple 👍 or 👎 on the now playing screen to simplify the recommendation tailoring, right now you make your user take an additional unnecessary step but hiding them in the 3 dot menu. 5.) block artist option. 6.) allow us to edit our preferred artists/bands (like when first setting up Apple Music) I’m sure there are more other users can suggest but those are the ones that really grind my gears.",Please do these things.,OtterSenpai,1,False,apple-music,1108187390
2021-11-05 06:00:32,"Issues:
- Deleting a song from your library also deletes it across all your playlists without telling you. This is incredibly frustrating, and makes me think way too much when adding albums to my library if I know I might remove them in the future.
- No way to search for songs in playlists.
- There’s still 2 different ways to search, why not display library results first and then Apple Music, or a mix of both? It’s annoying having to switch between them.
- The library tab shows recently added items. Why not show recently *played* items instead? I could’ve added an album a week ago but be listening to something else that day. Why not show more relevant stuff?",Notes below.,Luke Rooney,3,False,apple-music,1108187390
2021-10-18 13:57:20,"Apple-take a look at your reviews & please fix these issues. This is a PAID subscription. I will play music, either from one of my playlists or just a song through the search feature and songs will continually stall. Songs will stop at any point and just pause and pick up again. This will happen throughout the whole song and take double the time to get through one song. I have spoken to Apple about this with no resolve. It is not an internet connection issue on my end. All of my other apps and services work well off of Wi-Fi while Apple Music will have the stalling/skipping issue. It’s disappointing that I am paying for a service when it doesn’t work well.",Songs Constantly Stopping,Imanapplegirl,3,False,apple-music,1108187390
2021-11-20 00:39:07,"I’m on the latest available iOS for the iPhone 13 Pro Max at the time of this review. 

Everytime I add new songs to my iPhone through iTunes, they all have different album artwork from albums that are already on my phone. Deleting it and re-adding won’t fix it, it’ll just use a different album artwork from someone else. The only thing that fixes it is deleting my entire library and syncing it all at once. Then when I go to add more songs on my iPhone when new music is released every Thursday, they all have the wrong album artwork again. Please Apple, fix this. I want to be able to add new songs onto my iPhone with the correct artwork without having to resync my entire library. I’ve used iOS since the first iPod touch, and this is the first time I’ve experienced this issue. It’s so annoying.",Syncing Constantly Mixes Up My Album Artwork,Tokes93,1,False,apple-music,1108187390
2021-10-28 00:13:01,"I’m an Apple Music user from wayyyyy back. But for the last couple of year’s its been blah blah blah. Can’t find some song’s in the iTunes Store, very disappointing. Even used song requests, and still nothing! I mean how many time’s does a woman have to request ‘The SOS Band, Just Be Good To Me’? One of the hottest song’s of the 80’s!!! Wasn’t just some rinky-dink little song. It was a hit. 

And now I find that my music doesn’t always sync and skip’s on my iPhone! I mean come on. It sounds like I’m listening to vinyl on a record player! Deleting the app and reinstalling doesn’t always work to fix the problem. And I’m not going to reset and restore my iPhone all the time either. Shouldn’t keep having this problem. PLEASE fix this problem. It’s really started to tick me off. Much appreciate your cooperation.",What’s Up Apple????,PrettyKip,2,False,apple-music,1108187390
